Price,Catergory,Brand,Name,Type,Code,GB,Watt
0,VGA,Asus,ASUS GTX 670-DC2-2GD5,NVIDIA,670,2,600
0,VGA,Asus,Asus GTX 670-DC2-2GD5,NVIDIA,670,2,600
0,VGA,Asus,ASUS GTX 670-DC2OG-2GD5(256bits),NVIDIA,670,2,600
0,VGA,Asus,ASUS GTX 680-DC2O-2GD5,NVIDIA,680,2,700
0,VGA,Asus,ASUS GTX 680-DC2T-2GD5,NVIDIA,680,2,700
0,VGA,Asus,ASUS GTX 680-DC2O-2GD5,NVIDIA,680,2,700
0,VGA,Asus,ASUS GTX 680-DC2T-2GD5,NVIDIA,680,2,700
0,VGA,Asus,ASUS GTX 690-4GD5,NVIDIA,690,4,800
0,VGA,Asus,ASUS GTX 690-4GD5,NVIDIA,690,4,800
0,VGA,Gainward,Gainward GT720 1GB GDDR3,NVIDIA,720,1,300
0,VGA,Gainward,Gainward GT720 SilentFX 1GB GDDR3,NVIDIA,720,1,300
0,VGA,Gainward,Gainward GeForce GT 730 1024MB GDDR5 (D5),NVIDIA,730,1,300
0,VGA,Gainward,Gainward GeForce GT 730 2048MB 128bit,NVIDIA,730,2,300
0,VGA,Gainward,Gainward GeForce GT 730 2048MB SilentFX ,NVIDIA,730,2,300
0,VGA,Zotac,ZOTAC GT740 Synergy Edi Tion 2GB DDR5 128bit,NVIDIA,740,2,300
0,VGA,Gainward,Gainward GT740 2GB GDDR5,NVIDIA,740,2,300
0,VGA,Gainward,Gainward GeForce GT 740 1GB GDDR5 128Bit &amp;amp;amp;quot;Golden Sample&amp;amp;amp;quot;,NVIDIA,740,1,300
0,VGA,Gainward,Gainward GeForce GT 740 2GB GDDR3 128Bit &amp;amp;amp;quot;one-slot cooler&amp;amp;amp;quot;,NVIDIA,740,2,300
0,VGA,Zotac,ZOTAC GT740 Synergy Edi Tion 2GB DDR5 128bit,NVIDIA,740,2,300
0,VGA,Gainward,Gainward GeForce GTX 750 2GB GDDR5 128Bit,NVIDIA,750,2,450
0,VGA,Gainward,Gainward GeForce GTX 750 1GB GDDR5 128Bit DUAL ,NVIDIA,750,1,450
0,VGA,Gigabyte,Gigabyte GV-N750OC-2GI ( nVidia GTX 750 Ti Chipset ),NVIDIA,750 Ti,2,450
0,VGA,Gainward,Gainward GeForce GTX 750 Ti 2GB GDDR5 128Bit,NVIDIA,750 Ti,2,450
0,VGA,Gainward,Gainward GeForce GTX 750 Ti 2GB GDDR5 128Bit &amp;amp;amp;quot;Golden Sample&amp;amp;amp;quot;,NVIDIA,750 Ti,2,450
0,VGA,Gigabyte,Gigabyte GV-N750OC-2GI ( nVidia GTX 750 Ti Chipset ),NVIDIA,750 Ti,2,450
0,VGA,Gainward,Gainward GeForce GTX 760 Phantom 2GB GDDR5 256 Bit,NVIDIA,760,2,500
0,VGA,Zotac,ZOTAC GTX 760 AMP 2GB GDDR5,NVIDIA,760,2,500
0,VGA,Asus,ASUS GTX 760-DC2OC-2GD5 ( 256 bits ),NVIDIA,760,2,500
0,VGA,Asus,ASUS GTX 760-DC2OC-2GD5 ( 256 bits ),NVIDIA,760,2,500
0,VGA,Zotac,ZOTAC GTX 760 AMP 2GB GDDR5,NVIDIA,760,2,500
0,VGA,Zotac,ZOTAC GTX 770 AMP 2GB GDDR5,NVIDIA,770,2,600
0,VGA,Zotac,ZOTAC GTX 770 STD 2GB DDR5 256bit,NVIDIA,770,2,600
0,VGA,Asus,ASUS GTX 770-DC2-2GD5 (256 bits ),NVIDIA,770,2,600
0,VGA,Asus,ASUS GTX 770-DC2OC-2GD5,NVIDIA,770,2,600
0,VGA,Asus,ASUS GTX 770-DC2-2GD5 (256 bits ),NVIDIA,770,2,600
0,VGA,Asus,ASUS GTX 770-DC2OC-2GD5,NVIDIA,770,2,600
0,VGA,Zotac,ZOTAC GTX 770 AMP 2GB GDDR5,NVIDIA,770,2,600
0,VGA,Zotac,ZOTAC GTX 770 STD 2GB DDR5 256bit,NVIDIA,770,2,600
0,VGA,Gigabyte,Gigabyte GV N770OC-2GD,NVIDIA,770,2,600
0,VGA,Gigabyte,Gigabyte GV-N770OC-4GD,NVIDIA,770,4,600
0,VGA,Gigabyte,Gigabyte GV N770OC-2GD,NVIDIA,770,2,600
0,VGA,Gigabyte,Gigabyte GV-N770OC-4GD,NVIDIA,770,4,600
0,VGA,Zotac,ZOTAC GTX 780 AMP! Edi Tion 3GB,NVIDIA,780,3,700
0,VGA,Zotac,ZOTAC GTX 780 AMP! Edi Tion 3GB,NVIDIA,780,3,700
0,VGA,,ZOTAC GTX 780 AMP 2GB GDDR5,NVIDIA,780,2,700
0,VGA,Asus,Asus GTX 780-DC2OC-3GD5,NVIDIA,780,3,700
0,VGA,Gainward,Gainward GeForce GTX 780 3GB GDDR5 384bit Phantom GLH(super overclocek) ,NVIDIA,780,3,700
0,VGA,Asus,Asus GTX 780-DC2OC-3GD5,NVIDIA,780,3,700
0,VGA,,ZOTAC GTX 780 AMP 2GB GDDR5,NVIDIA,780,2,700
0,VGA,,Zotac GeForce GTX 780 Ti,NVIDIA,780 Ti,3,700
0,VGA,,Zotac GeForce GTX 780 Ti,NVIDIA,780 Ti,3,700
0,VGA,Asus,Asus GTX 780 Ti-3GD5,NVIDIA,780 Ti,3,700
0,VGA,Asus,ASUS GTX 780 Ti-DC2OC-3GD5,NVIDIA,780 Ti,3,700
0,VGA,Asus,Asus GTX 780 Ti-3GD5,NVIDIA,780 Ti,3,700
0,VGA,Asus,ASUS GTX 780 Ti-DC2OC-3GD5,NVIDIA,780 Ti,3,700
0,VGA,Gainward,Gainward GTX 780 Ti Phantom 3GB GDDR5,NVIDIA,780 Ti,3,700
0,VGA,MSI,MSI GTX 950 GAMING 2G GDDR5,NVIDIA,950,2,400
0,VGA,MSI,MSI GTX 950 GAMING 2G GDDR5,NVIDIA,950,2,400
0,VGA,Gigabyte,Gigabyte GV 970IXOC-4GD ( nVidia GTX 970 Chipset ),NVIDIA,970,4,600
0,VGA,Gainward,Gainward GTX 970 4GB GDDR5,NVIDIA,970,4,600
0,VGA,Gainward,Gainward GTX 970 Phantom 4GB GDDR5,NVIDIA,970,4,600
0,VGA,Gigabyte,Gigabyte GV 970IXOC-4GD ( nVidia GTX 970 Chipset ),NVIDIA,970,4,600
0,VGA,Gigabyte,Gigabyte GV 980WF3OC-4GD ( nVidia GTX 980 Chipset),NVIDIA,980,4,700
0,VGA,Zotac,ZOTAC Geforce GTX 980 Extreme Edi Tion 4GB DDR5 256bit,NVIDIA,980,4,700
0,VGA,Gainward,Gainward GTX 980 4GB GDDR5,NVIDIA,980,4,700
